animal_id,Pit,sex,age,date,svl,tail-length,body-mass,feeding
373,9.89001E+14,F,NA,21-May-13,10.2,16.1,50,moderate
380,9.89001E+14,F,NA,21-May-13,17.5,27.6,250,moderate
387,9.89001E+14,F,NA,21-May-13,21.5,30.1,315,moderate
388,9.89001E+14,F,NA,21-May-13,19.5,28.4,335,moderate
389,9.89001E+14,F,NA,21-May-13,18.3,26.9,325,moderate
414,9.89001E+14,F,NA,11-Apr-14,11.1,18.7,66,moderate
494,9.82E+14,F,NA,05-Sep-18,15.9,22.2,150,moderate
173,4918632070,F,NA,27-May-07,17.5/16.9,26.2/26.1,240,moderate
120,452FOC5C45,F,NA,27-May-05,17.8,24.6,220,moderate
127,452F18024A,F,NA,28-May-05,17.3,24.8,200,moderate
142,453F600718,F,NA,27-May-06,14.7,22.3,130,moderate
161,4917166808,F,NA,27-May-07,19.0/19.0,27.9/27.0,260,moderate
168,491A1D3348,F,NA,27-May-07,20.0/19.1,31.0/31.0,390,moderate
174,491A12165A,F,NA,27-May-07,18.4/18.4,27.5/27.3,300,moderate
179,49172C2771,F,NA,27-May-07,18.2/18.5,23.5/24.0,270,moderate
183,4919710D63,F,NA,02-Jun-07,19.4/19.4,23/23.6,310,moderate
193,4B1E086C25,F,NA,24-May-08,16,24.5,180,moderate
197,4B21316F1A,F,NA,24-May-08,18.2,28.3,250,moderate
204,4B21615C7D,F,NA,24-May-08,17.5,24.3,220,moderate
229,4A7202021B,F,NA,01-Jun-08,16.5,24.0,190,moderate
263,4B001D1B5F,F,NA,01-Jun-09,19,24.6,290,moderate
58,426410182C,F,NA,19-May-10,21.7,17.7/21,450,moderate
272,9.85121E+14,F,NA,19-May-10,14.5,23.1,140,moderate
275,9.85121E+14,F,NA,19-May-10,20.8,31.0,390,moderate
293,9.85121E+14,F,NA,27-May-10,16.3,24.9,190,moderate
317,9.85121E+14,F,NA,17-May-12,16.5,24.9,220,moderate
339,9.85121E+14,F,NA,25-May-12,19.3,9.8/16.2,340,moderate
345,9.85121E+14,F,NA,25-May-12,17.3,23.2,130,moderate
350,9.85121E+14,F,NA,25-May-12,18.1,28.1,260,moderate
275,9.85121E+14,F,NA,14-May-13,22.8,32.6,515,moderate
382,9.89001E+14,F,NA,21-May-13,18.7,29.6,295,moderate
391,9.89001E+14,F,NA,21-May-13,19.1,27.5,325,moderate
396,9.89001E+14,F,NA,22-May-13,21.2,24.3,435,moderate
400,9.89001E+14,F,NA,22-May-13,16.9,25.5,200,moderate
402,9.89001E+14,F,NA,22-May-13,20.1,28.1,320,moderate
442,9.82E+14,F,NA,17-Jun-16,10.3,16.8,48,moderate
347,9.85121E+14,F,NA,24-Apr-18,22.3,32.1,495,moderate
460,9.82E+14,F,NA,24-Apr-18,17,26.3,225,moderate
478,9.82E+14,F,NA,05-Sep-18,22.3,31.4,430,moderate
490,9.82E+14,F,NA,05-Sep-18,15.5,23.8,170,moderate
491,9.82E+14,F,NA,05-Sep-18,22.4,31.3,460,moderate
524,9.82126E+14,F,NA,10-Jun-19,12.2,14.6,85,moderate
152,442560510A,F,NA,27-May-06,17.4,26.2,260,moderate
199,4B215E100B,F,NA,24-May-08,18.2,28.3,270,moderate
170,491C720932,F,NA,26-May-08,18.9,27.8,290,moderate
235,4B002A331E,F,NA,23-May-09,20.1,30.6,420,moderate
247,4B1D7A214D,F,NA,26-May-09,17.4,26.2,270,moderate
274,9.85121E+14,F,NA,19-May-10,14,22.0,140,moderate
276,9.85121E+14,F,NA,19-May-10,19.4,28.3,330,moderate
296,9.85121E+14,F,NA,27-May-10,19.5,26.5,270,moderate
305,9.85121E+14,F,NA,17-May-12,19.4,26.4,330,moderate
314,9.85121E+14,F,NA,17-May-12,16.9,25.7,240,moderate
327,9.85121E+14,F,NA,18-May-12,18.5,27.1,280,moderate
334,9.85121E+14,F,NA,21-May-12,16.5,25.5,250,moderate
336,9.85121E+14,F,NA,21-May-12,16,24.6,175,moderate
357,9.85121E+14,F,NA,14-May-13,19.2,27.4,295,moderate
364,4B21344C16,F,NA,14-May-13,19.2,27.6,310,moderate
365,4B081F1140,F,NA,14-May-13,19.8,14.5/20.7,320,moderate
366,9.85121E+14,F,NA,14-May-13,23.9,33.5,630,moderate
384,9.89001E+14,F,NA,21-May-13,21.1,30.9,430,moderate
390,9.89001E+14,F,NA,21-May-13,19.1,29.6,310,moderate
397,9.89001E+14,F,NA,22-May-13,20.8,30.7,410,moderate
399,9.89001E+14,F,NA,22-May-13,18.4,26.0,270,moderate
455,9.82E+14,F,NA,23-Apr-18,19.2,29.2,330,moderate
415,9.89001E+14,F,NA,05-Sep-18,21.1,29.7,390,moderate
474,9.82E+14,F,NA,05-Sep-18,21.1,30.7,435,moderate
475,9.82E+14,F,NA,05-Sep-18,24.2,32.2,675,moderate
497,9.82E+14,F,NA,05-Sep-18,20.2,28.8,345,moderate
491,9.82E+14,F,NA,10-Jun-19,22.4,32.1,465,moderate
516,9.82126E+14,F,NA,10-Jun-19,15.1,24.1,155,moderate
518,9.82126E+14,F,NA,10-Jun-19,24.4,29.3,325,moderate
525,9.82126E+14,F,NA,10-Jun-19,18.5,27.1,270,moderate
526,9.82126E+14,F,NA,10-Jun-19,14.2,20.4,115,moderate
530,9.82126E+14,F,NA,10-Jun-19,16.1,24.5,175,moderate
49,501F657D13,F,NA,04-Jun-01,20.5,22.6,410,moderate
70,5020265477,F,NA,29-May-02,27.9,39.3,810,moderate
24,4428403242,F,NA,21-May-03,21.6/21.5,29.6,430,moderate
122,452F136F6B,F,NA,27-May-05,22.4,34.6,470,moderate
136,4534786928,F,NA,04-Jun-05,17.5,27.9,230,moderate
120,452FOC5C45,F,NA,27-May-06,19.7,27.8,340,moderate
169,491A6E2D37,F,NA,27-May-07,27.1/27.0,26.0/25.6,850,moderate
172,491B154017,F,NA,27-May-07,24.1/24.2,33.0/32.5,580,moderate
215,4B2137195B,F,NA,01-Jun-08,21,15.3/17.4,430,moderate
221,4B1D744D57,F,NA,01-Jun-08,20,28.8,410,moderate
179,49172C2771,F,NA,31-May-09,20.2,25.7,340,moderate
279,9.85121E+14,F,NA,20-May-10,23.7,33.7,600,moderate
286,4B1E061275,F,NA,22-May-10,17.8,26.6,260,moderate
31,5020165301,F,NA,27-May-10,19,29.0,290,moderate
291,9.85121E+14,F,NA,27-May-10,18.9,28.7,770,moderate
335,9.85121E+14,F,NA,21-May-12,18.4,29.3,370,moderate
346,9.85121E+14,F,NA,25-May-12,16.7,25.1,220,moderate
347,9.85121E+14,F,NA,25-May-12,17.5,25.7,230,moderate
356,4B1F323051,F,NA,14-May-13,18.5,25.7,265,moderate
360,4B203E3D65,F,NA,14-May-13,18.5,28.3,305,moderate
179,49172C2771,F,NA,21-May-13,21.8,27.4,460,moderate
232,4B1E124331,F,NA,21-May-13,21.5,29.8,430,moderate
450,9.82E+14,F,NA,23-Apr-18,18.7,30.1,330,moderate
