animal_id,sex,age,date,svl,tail-length,body-mass,feeding
158B,female,6.6,5/9/12,21.8,29.2,410,none
158B,female,10.7,5/20/16,25,34,690,none
158B,female,12.7,6/3/18,25.1,33.5,615,none
159A,male,NA,7/16/08,27.2,35.2,794,none
159A,male,NA,5/19/10,31,38,840,none
159A,male,NA,5/20/11,31,39.7,1020,none
159A,male,NA,5/9/12,31.8,41.2,1184,none
159A,male,NA,9/8/16,31.3,40.8,1350,none
159A,male,NA,6/3/18,31.4,41.1,1120,none
15A,male,NA,5/16/05,44.3,51.1,2840,none
15A,male,NA,3/21/06,43.5,52,3302,none
15A,male,NA,5/15/08,43.5,52.4,3035,none
15A,male,NA,7/16/09,44.2,51.5,3565,none
15A,male,NA,5/19/10,45.7,52.5,3070,none
15B,female,NA,5/20/16,23.1,30.9,560,none
160A,male,NA,7/14/08,27.6,36.6,850,none
160A,male,NA,5/9/12,33,43.3,1276,none
16A,female,NA,5/16/05,26.5,36,712,none
16A,female,NA,9/8/16,31,41,1235,none
16B,male,NA,5/20/16,37,45.6,1875,none
170A,male,2.8,7/14/08,15.8,20.7,160,none
170A,male,3.7,5/22/09,16.5,22.5,204,none
170A,male,4.7,5/19/10,18.7,25.2,295,none
170A,male,5.7,5/20/11,20.5,27.5,325,none
170A,male,6.6,5/9/12,21.4,29.3,446,none
170A,male,10.7,5/20/16,24.7,33.1,665,none
170A,male,10.8,6/23/16,25.7,33.7,680,none
170A,male,10.8,6/24/16,25.7,33.7,595,none
17A,male,NA,5/16/05,44.5,49.5,3428,none
17A,male,NA,3/22/06,44,49,3405,none
17A,male,NA,7/19/06,NA,NA,NA,none
17A,male,NA,5/15/08,42.5,48.9,2880,none
17A,male,NA,5/19/10,42.4,50.2,2703,none
17A,male,NA,5/9/12,NA,NA,NA,none
17B,female,NA,5/20/16,24.4,32.2,585,none
17B,female,NA,5/16/17,26.2,33.7,676,none
180A,male,3.8,7/14/08,16.5,21.2,216,none
180A,male,4.7,5/22/09,17.5,22.3,218,none
180A,male,7.6,5/9/12,21.4,27.7,385,none
180A,male,13.7,6/2/18,24.7,32.8,670,none
18A,male,NA,5/16/05,23.6,35.4,542,none
18A,male,NA,6/30/07,28,39.6,927,none
18A,male,NA,5/15/08,28,41.3,880,none
18A,male,NA,7/14/08,28.5,41.4,975,none
18A,male,NA,5/19/10,30.5,43.5,925,none
18A,male,NA,5/9/12,31.2,44,1130,none
18B,female,NA,5/20/16,21.5,28,408,none
190/0,male,14.7,5/19/03,46,54.3,3350,none
190/0,male,17.8,7/16/06,46.2,54.5,3590,none
190/0,male,19.6,5/15/08,45,53.8,2730,none
190/0,male,19.8,7/17/08,46,54.4,3394,none
190/0,male,28.7,5/15/17,46,53.7,2450,none
190/0,male,NA,5/20/19,NA,NA,NA,none
19A,female,NA,5/16/05,33.5,44.7,1570,none
19B,male,NA,5/20/16,27.3,35.8,798,none
19B,male,NA,6/24/16,27.7,36.2,760,none
19B,male,NA,6/2/18,27.1,35.6,715,none
20A,male,NA,5/20/16,25.7,34.6,737,none
20A,male,NA,6/24/16,27.8,34,720,none
20B,female,NA,5/20/16,34,46.7,1460,none
20B,female,NA,9/10/16,33.8,46.1,1360,none
20B,female,NA,5/16/17,34,37,1478,none
21A,male,NA,5/16/05,19.4,26.2,712,none
21A,male,NA,3/21/06,20.5,28.3,365,none
22A,male,NA,5/16/05,32.6,44.9,1445,none
22A,male,NA,6/23/16,39.5,50.7,2415,none
22B,female,NA,5/20/16,24.7,30.2,565,none
23A,female,NA,3/21/06,21,26.1,391,none
23A,female,NA,5/15/08,26.2,NA,685,none
23A,female,NA,7/14/08,26.1,NA,775,none
23A,female,NA,5/9/12,29.3,NA,953,none
23A,female,NA,5/16/17,30.9,NA,1035,none
23B,male,NA,5/20/16,28.8,37.2,1095,none
23B,male,NA,5/20/19,30.5,37.4,1265,none
24A,male,NA,3/21/06,30.8,42.6,1130,none
