animal_id,Pit,sex,age,date,svl,tail-length,body-mass,feeding
23,4B21614E37,F,NA,27-May-08,33.5,49.3,1890,high
141,982000409784648,M,NA,23-Apr-18,33.5,46.8,1910,high
187,982000409784706,M,NA,04-Sep-18,33.5,49.4,1720,high
47,4A0E4D003C,F,NA,22-May-10,33.6,52.4,2070,high
143,982000409784641,F,NA,23-Apr-18,33.6,47.5,1720,high
163,982000407478959,F,NA,11-Jun-19,33.6,47,1790,high
201,982126056325396,F,NA,11-Jun-19,33.7,45.4,1105,high
33,4B211C4410,M,NA,01-Jun-08,33.7,51.4,1880,high
11,4426097F47,M,NA,28-May-03,33.7,48.6,1830,none
196,982126056325351,F,NA,11-Jun-19,33.8,48.3,1260,high
23,4B21614E37,F,NA,25-May-09,33.9,50.5,2070,high
28,4B2110094D,F,NA,29-May-08,33.9,49,1080,high
203,982126056325382,F,NA,11-Jun-19,34,46.4,1445,high
172,982000407478928,M,NA,04-Sep-18,34.0,48.2,1890,high
see notes,982000409784615,F,NA,11-Jun-19,34.1,48.3,1570,high
146,982000409784594,F,NA,24-Apr-18,34.1,48.9,1850,high
217,982126056325326,F,NA,11-Jun-19,34.1,45.8,1670,high
150,982000409784650,F,NA,04-Sep-18,34.1,46.8,1825,high
213,982126056325402,F,NA,11-Jun-19,34.2,50.4,1735,high
218,982126056325309,F,NA,11-Jun-19,34.2,47,1290,high
107,989001000105657,M,NA,18-May-13,34.2,51.1,1615,high
37,4B1E21767D,F,NA,24-Apr-18,34.4,46.5,2310,high
9,4424796D60,F,NA,28-May-03,34.4,51,2210,none
142,982000403120731,F,NA,23-Apr-18,34.4,49.5,2325,high
26,4B1E0C3E1A,F,NA,29-May-08,34.4,52.3,1090,high
78,985121024820245,F,NA,21-May-12,34.5,49.5,2150,high
91,4B211F3653,M,NA,13-May-13,34.6,52.5,1600,high
221,982126056325287,F,NA,11-Jun-19,34.7,48.8,1640,high
93,4B21166C65,M,NA,13-May-13,34.8,48,1420,high
102,985121024899867,M,NA,18-May-13,34.8,51.3,1785,high
134,982000409784662,F,NA,23-Apr-18,35.0,50.4,2405,high
204,982126056325346,M,NA,11-Jun-19,35,50.7,1825,high
154,982000403120680,F,NA,24-Apr-18,35.1,48.4,1980,high
206,982126056325398,F,NA,11-Jun-19,35.1,49,1600,high
62,985121024818946,F,NA,12-May-13,35.2,52.1,2250,high
72,985121024806164,F,NA,20-May-12,35.2,54.1,2295,high
211,982126056325375,M,NA,11-Jun-19,35.2,50.1,1815,high
43,4B1442202C,F,NA,07-Sep-16,35.3,53.4,2530,high
38,4B1F13475B,F,NA,25-May-09,35.3,26.6/34.1,1720,high
168,982000409784690,M,NA,04-Sep-18,35.3,51.4,1900,high
81,985121024903998,F,NA,11-Jun-19,35.5,49.5,1490,high
136,982000409784628,M,NA,07-Sep-16,35.5,49.6,1975,high
153,982000403120682,M,NA,24-Apr-18,35.5,53.5,2485,high
