animal_id,Island
171C,LeafCay
172C,LeafCay
173B,LeafCay
174D,LeafCay
175B,LeafCay
177B,LeafCay
177D,LeafCay
178B,LeafCay
180B,LeafCay
180C,LeafCay
180/0B,LeafCay
181/6A,LeafCay
182C,LeafCay
183C,LeafCay
183D,LeafCay
184B,LeafCay
184C,LeafCay
185B,LeafCay
185C,LeafCay
185D,LeafCay
185E,LeafCay
186B,LeafCay
186D,LeafCay
187D,LeafCay
187E,LeafCay
188D,LeafCay
188E,LeafCay
189C,LeafCay
190C,LeafCay
190E,LeafCay
191D,LeafCay
192C,LeafCay
193B,LeafCay
193D,LeafCay
194B,LeafCay
194D,LeafCay
195C,LeafCay
195D,LeafCay
196C,LeafCay
196D,LeafCay
197B,LeafCay
197C,LeafCay
198B,LeafCay
198D,LeafCay
198E,LeafCay
199C,LeafCay
WRDB,LeafCay
STUB,LeafCay
